,0
Buy Price w debt factored in $,61.279922608088505
Buy Price w/o debt factored in $,96.72534316188018
Revenue Growth Rate %,7.023067203928966
FCF to net income margins %,81.72990722289815
Revenue to net income margins %,15.082561500604081
Weight of Asset %,76.53637579941318
Weight of Debt,23.463624200586818
