,0
Buy Price w debt factored in $,103.72808495213721
Buy Price w/o debt factored in $,145.27185015603987
Revenue Growth Rate %,2.1862442607939445
FCF to net income margins %,98.47004674824493
Revenue to net income margins %,15.394147627125978
Weight of Asset %,77.46824174427073
Weight of Debt,22.53175825572927
