,0
Buy Price w debt factored in $,58.044631466909124
Buy Price w/o debt factored in $,74.2446949469615
Revenue Growth Rate %,-1.4935884923480869
FCF to net income margins %,121.42599121229176
Revenue to net income margins %,14.290195404292858
Weight of Asset %,85.84111325231719
Weight of Debt,14.158886747682809
