,0
Buy Price w debt factored in $,-10.423501834349763
Buy Price w/o debt factored in $,7.386979869550541
Revenue Growth Rate %,0.35460589075032084
FCF to net income margins %,15.141309250155615
Revenue to net income margins %,22.465397451783673
Weight of Asset %,66.88263725204958
Weight of Debt,33.11736274795043
