,0
Buy Price w debt factored in $,18.890134185794704
Buy Price w/o debt factored in $,53.444091026752794
Revenue Growth Rate %,2.437237048626833
FCF to net income margins %,103.10379690045114
Revenue to net income margins %,9.384037121751025
Weight of Asset %,62.79949633953634
Weight of Debt,37.20050366046365
