,0
Buy Price w debt factored in $,32.395328039548986
Buy Price w/o debt factored in $,59.782484382361694
Revenue Growth Rate %,2.0595700303516034
FCF to net income margins %,114.17297439131919
Revenue to net income margins %,10.620325985893238
Weight of Asset %,66.4464433715959
Weight of Debt,33.553556628404095
