,0
Buy Price w debt factored in $,-382.0482348292369
Buy Price w/o debt factored in $,472.11351889024684
Revenue Growth Rate %,6.032764567386326
FCF to net income margins %,87.54489758319615
Revenue to net income margins %,28.724015333207554
Weight of Asset %,38.211109541731894
Weight of Debt,61.788890458268106
