,0
Buy Price w debt factored in $,72.89283332193537
Buy Price w/o debt factored in $,134.71826747583404
Revenue Growth Rate %,6.3844118665098675
FCF to net income margins %,115.12271948854197
Revenue to net income margins %,4.367199954402473
Weight of Asset %,59.615268096846364
Weight of Debt,40.38473190315364
