,0
Buy Price w debt factored in $,111.3800354109166
Buy Price w/o debt factored in $,117.04985014645919
Revenue Growth Rate %,18.549720408870773
FCF to net income margins %,114.87697879070441
Revenue to net income margins %,22.415796169382368
Weight of Asset %,90.72848206876935
Weight of Debt,9.271517931230647
